Year,Total,White alone,White,"White alone, not Hispanic","White, not Hispanic",Black A.O.I.C.,Black alone,Black (3),Asian A.O.I.C.,Asian alone,Hispanic (of any race)
2012, 0.451 , 0.441 , (NA) , 0.429 , (NA) , 0.470 , 0.470 , (NA) , 0.440 , 0.439 , 0.458 
2011, 0.450 , 0.441 , (NA) , 0.429 , (NA) , 0.476 , 0.475 , (NA) , 0.442 , 0.439 , 0.457 
2010, 0.440 , 0.431 , (NA) , 0.418 , (NA) , 0.469 , 0.463 , (NA) , 0.425 , 0.427 , 0.456 
2009, 0.443 , 0.431 , (NA) , 0.420 , (NA) , 0.470 , 0.469 , (NA) , 0.461 , 0.462 , 0.457 
2008, 0.438 , 0.428 , (NA) , 0.417 , (NA) , 0.461 , 0.460 , (NA) , 0.439 , 0.437 , 0.447 
2007, 0.432 , 0.422 , (NA) , 0.411 , (NA) , 0.464 , 0.465 , (NA) , 0.423 , 0.424 , 0.435 
2006, 0.444 , 0.434 , (NA) , 0.425 , (NA) , 0.474 , 0.473 , (NA) , 0.444 , 0.448 , 0.439 
2005, 0.440 , 0.430 , (NA) , 0.422 , (NA) , 0.469 , 0.470 , (NA) , 0.429 , 0.431 , 0.427 
2004, 0.438 , 0.430 , (NA) , 0.420 , (NA) , 0.455 , 0.456 , (NA) , 0.430 , 0.430 , 0.445 
2003, 0.436 , 0.429 , (NA) , 0.419 , (NA) , 0.456 , 0.456 , (NA) , 0.420 , 0.421 , 0.439 
2002, 0.434 , 0.424 , (NA) , 0.414 , (NA) , 0.463 , 0.461 , (NA) , 0.426 , 0.428 , 0.445 
2001, 0.435 , (NA) , 0.426 , (NA) , 0.419 , (NA) , (NA) , 0.447 , (NA) , (NA) , 0.432 
2000, 0.433 , (NA) , 0.425 , (NA) , 0.417 , (NA) , (NA) , 0.442 , (NA) , (NA) , 0.444 
1999, 0.429 , (NA) , 0.419 , (NA) , 0.410 , (NA) , (NA) , 0.458 , (NA) , (NA) , 0.432 
1998, 0.430 , (NA) , 0.422 , (NA) , (NA) , (NA) , (NA) , 0.445 , (NA) , (NA) , 0.448 
1997, 0.429 , (NA) , 0.422 , (NA) , (NA) , (NA) , (NA) , 0.439 , (NA) , (NA) , 0.452 
1996, 0.425 , (NA) , 0.414 , (NA) , (NA) , (NA) , (NA) , 0.455 , (NA) , (NA) , 0.449 
1995, 0.421 , (NA) , 0.409 , (NA) , (NA) , (NA) , (NA) , 0.457 , (NA) , (NA) , 0.439 
1994, 0.426 , (NA) , 0.416 , (NA) , (NA) , (NA) , (NA) , 0.458 , (NA) , (NA) , 0.444 
1993, 0.429 , (NA) , 0.416 , (NA) , (NA) , (NA) , (NA) , 0.482 , (NA) , (NA) , 0.439 
1992, 0.404 , (NA) , 0.390 , (NA) , (NA) , (NA) , (NA) , 0.462 , (NA) , (NA) , 0.423 
1991, 0.397 , (NA) , 0.384 , (NA) , (NA) , (NA) , (NA) , 0.448 , (NA) , (NA) , 0.422 
1990, 0.396 , (NA) , 0.384 , (NA) , (NA) , (NA) , (NA) , 0.445 , (NA) , (NA) , 0.416 
1989, 0.401 , (NA) , 0.389 , (NA) , (NA) , (NA) , (NA) , 0.442 , (NA) , (NA) , 0.415 
1988, 0.395 , (NA) , 0.382 , (NA) , (NA) , (NA) , (NA) , 0.450 , (NA) , (NA) , 0.424 
1987, 0.393 , (NA) , 0.380 , (NA) , (NA) , (NA) , (NA) , 0.447 , (NA) , (NA) , 0.429 
1986, 0.392 , (NA) , 0.380 , (NA) , (NA) , (NA) , (NA) , 0.442 , (NA) , (NA) , 0.411 
1985, 0.389 , (NA) , 0.378 , (NA) , (NA) , (NA) , (NA) , 0.430 , (NA) , (NA) , 0.406 
1984, 0.383 , (NA) , 0.371 , (NA) , (NA) , (NA) , (NA) , 0.434 , (NA) , (NA) , 0.405 
1983, 0.382 , (NA) , 0.370 , (NA) , (NA) , (NA) , (NA) , 0.428 , (NA) , (NA) , 0.398 
1982, 0.380 , (NA) , 0.368 , (NA) , (NA) , (NA) , (NA) , 0.422 , (NA) , (NA) , 0.401 
1981, 0.369 , (NA) , 0.358 , (NA) , (NA) , (NA) , (NA) , 0.414 , (NA) , (NA) , 0.383 
1980, 0.365 , (NA) , 0.353 , (NA) , (NA) , (NA) , (NA) , 0.410 , (NA) , (NA) , 0.386 
1979, 0.365 , (NA) , 0.354 , (NA) , (NA) , (NA) , (NA) , 0.410 , (NA) , (NA) , 0.381 
1978, 0.363 , (NA) , 0.353 , (NA) , (NA) , (NA) , (NA) , 0.406 , (NA) , (NA) , 0.368 
1977, 0.363 , (NA) , 0.352 , (NA) , (NA) , (NA) , (NA) , 0.404 , (NA) , (NA) , 0.364 
1976, 0.358 , (NA) , 0.348 , (NA) , (NA) , (NA) , (NA) , 0.394 , (NA) , (NA) , 0.368 
1975, 0.357 , (NA) , 0.349 , (NA) , (NA) , (NA) , (NA) , 0.386 , (NA) , (NA) , 0.371 
1974, 0.355 , (NA) , 0.346 , (NA) , (NA) , (NA) , (NA) , 0.388 , (NA) , (NA) , 0.357 
1973, 0.356 , (NA) , 0.346 , (NA) , (NA) , (NA) , (NA) , 0.394 , (NA) , (NA) , 0.349 
1972, 0.359 , (NA) , 0.350 , (NA) , (NA) , (NA) , (NA) , 0.398 , (NA) , (NA) , 0.355 
1971, 0.355 , (NA) , 0.347 , (NA) , (NA) , (NA) , (NA) , 0.385 , (NA) , (NA) , (NA) 
1970, 0.353 , (NA) , 0.345 , (NA) , (NA) , (NA) , (NA) , 0.388 , (NA) , (NA) , (NA) 
1969, 0.349 , (NA) , 0.341 , (NA) , (NA) , (NA) , (NA) , 0.378 , (NA) , (NA) , (NA) 
1968, 0.348 , (NA) , 0.340 , (NA) , (NA) , (NA) , (NA) , 0.380 , (NA) , (NA) , (NA) 
1967, 0.358 , (NA) , 0.349 , (NA) , (NA) , (NA) , (NA) , 0.400 , (NA) , (NA) , (NA) 
1966, 0.349 , (NA) , 0.340 , (NA) , (NA) , (NA) , (NA) , 0.375 , (NA) , (NA) , (NA) 
1965, 0.356 , (NA) , 0.346 , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) 
1964, 0.361 , (NA) , 0.351 , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) 
1963, 0.362 , (NA) , 0.350 , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) 
1962, 0.362 , (NA) , 0.350 , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) 
1961, 0.374 , (NA) , 0.363 , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) 
